ID,RA (deg),DEC (deg),cluster redshift,radial velocity(km/s),Comoving Distance(Mpc/h),r_200(Mpc/h),N_200,sigma_200(km/s),lower error in sigma_200(km/s),upper error in sigma_200(km/s),"M_200 cls mass (10^14 M_sun, NFW)","error in M_200 cls mass (10^14 M_sun, NFW)",R_s (Mpc/h),error in r_s (Mpc/h),"M_s (10^14 M_sun, NFW)","error in M_s (10^14 M_sun, NFW)"
1,230.65973,27.743846,0.07317685,21137.193,215.71431,1.7588447,167,1042.086,-83.233978,100.84929,1.35E+15,3.57E+14,0.41,0.108,3.06E+14,8.06E+13
2,227.55402,33.498096,0.11390785,32215.073,332.54794,1.5113488,63,926.75761,-92.042355,118.74025,8.95E+14,2.35E+14,0.32,0.084,1.88E+14,4.93E+13
3,194.93502,27.912461,0.023372245,6924.962,69.697942,1.54485,672,932.60305,-47.761507,55.312723,8.76E+14,2.23E+14,0.33,0.084,1.85E+14,4.71E+13
4,258.20851,64.052953,0.080997,23301.868,238.32735,1.4534098,155,881.24884,-70.222098,82.083225,7.70E+14,2.08E+14,0.37,0.1,1.86E+14,5.04E+13
5,209.83093,27.968947,0.075065085,21661.524,221.18227,1.4489923,77,842.65332,-83.231049,96.160155,7.59E+14,2.17E+14,0.14,0.04,9.66E+13,2.76E+13
6,227.73192,5.8229001,0.07835649,22572.973,230.70156,1.43097,128,886.46345,-71.714821,86.034641,7.33E+14,4.41E+13,1.13,0.068,5.46E+14,3.29E+13
7,255.65941,33.502777,0.0878143,25174.245,257.97033,1.42325,84,887.63019,-95.307794,130.60363,7.28E+14,2.12E+14,0.22,0.064,1.23E+14,3.57E+13
8,231.01218,29.888975,0.11375935,32175.564,332.12625,1.3895132,80,860.21485,-87.603521,99.215572,6.95E+14,1.11E+14,0.93,0.148,4.26E+14,6.79E+13
9,239.55991,27.216052,0.08978538,25713.057,263.63749,1.3787041,150,838.20757,-77.163051,92.670308,6.63E+14,1.40E+14,0.85,0.18,3.71E+14,7.85E+13
10,240.54984,15.91987,0.03702969,10895.82,110.0802,1.4012284,299,771.32815,-52.706128,62.726122,6.62E+14,1.65E+14,0.16,0.04,9.26E+13,2.31E+13
11,257.40317,34.467814,0.08488568,24371.573,249.53999,1.3775478,93,846.59708,-92.729448,117.82516,6.58E+14,2.09E+14,0.29,0.092,1.38E+14,4.37E+13
12,255.66803,34.04964,0.10016501,28531.626,293.38992,1.3402046,72,833.34765,-80.464306,99.681133,6.15E+14,1.78E+14,0.29,0.084,1.31E+14,3.81E+13
13,2.9386063,32.415657,0.1016675,28937.015,297.68409,1.3219345,35,861.51117,-119.32204,159.51865,5.91E+14,1.58E+14,0.15,0.04,8.24E+13,2.20E+13
14,53.586472,-1.1657616,0.1380759,38560.086,400.75866,1.2716682,28,878.38906,-176.39656,301.30812,5.46E+14,1.92E+14,0.25,0.088,1.09E+14,3.83E+13
15,358.54379,-10.385219,0.07656306,22076.737,225.51655,1.2839031,109,753.3177,-75.135301,88.63577,5.29E+14,1.41E+14,0.36,0.096,1.38E+14,3.69E+13
16,10.400877,-9.3250982,0.05550725,16179.489,164.30491,1.2786745,126,733.15143,-71.934025,84.48961,5.12E+14,1.54E+14,0.4,0.12,1.47E+14,4.41E+13
17,247.18045,39.56877,0.03034889,8960.3673,90.358462,1.2782219,283,718.28009,-49.289408,57.769113,4.99E+14,1.36E+14,0.22,0.06,9.05E+13,2.47E+13
18,224.28745,22.426282,0.1231718,34667.113,358.79256,1.2379329,10,557.63776,-322.6353,194.60558,4.96E+14,1.89E+14,0.2,0.076,8.62E+13,3.28E+13
19,202.71017,-1.8575332,0.08630847,24761.844,253.63715,1.2456196,76,683.93258,-73.043265,85.230734,4.87E+14,1.26E+14,0.17,0.044,7.59E+13,1.97E+13
20,178.80362,23.396369,0.13913725,38834.881,403.73503,1.215696,18,748.94273,-192.70268,309.27749,4.78E+14,1.64E+14,0.21,0.072,8.68E+13,2.98E+13
21,231.47431,29.822648,0.1157492,32704.432,337.77419,1.2240508,28,585.92857,-99.53445,157.55369,4.76E+14,1.52E+14,0.3,0.096,1.12E+14,3.58E+13
22,153.46837,-0.12086889,0.09436141,26959.559,276.77311,1.2298625,32,713.67181,-98.099797,145.12228,4.73E+14,1.63E+14,0.29,0.1,1.08E+14,3.72E+13
23,184.43175,3.6476464,0.07724202,22264.715,227.48003,1.2357785,101,765.14747,-88.833689,121.87053,4.72E+14,1.34E+14,0.31,0.088,1.13E+14,3.20E+13
24,255.50545,24.45111,0.17018305,46731.327,490.08264,1.1771637,10,739.63629,-172.93103,216.52225,4.48E+14,2.43E+14,0.14,0.076,6.42E+13,3.48E+13
25,125.78844,4.3091978,0.0949463,27118.44,278.44993,1.1991188,23,668.84848,-118.95764,185.50965,4.39E+14,1.34E+14,0.51,0.156,1.67E+14,5.10E+13
26,5.1614385,28.694578,0.09494101,27117.003,278.43476,1.1931223,24,689.93418,-136.78907,218.63349,4.32E+14,1.56E+14,0.2,0.072,7.69E+13,2.77E+13
27,208.18359,36.288714,0.14515056,40385.714,420.56786,1.171287,14,632.35954,-127.81621,202.23807,4.30E+14,2.03E+14,0.22,0.104,8.28E+13,3.92E+13
28,130.38171,26.765129,0.086124918,24711.529,253.10874,1.1794245,39,508.08698,-75.146403,95.264697,4.14E+14,1.24E+14,0.2,0.06,7.42E+13,2.23E+13
29,186.88122,8.8454095,0.08989605,25743.276,263.95552,1.1764708,77,733.72969,-72.306594,88.268404,4.12E+14,1.10E+14,0.3,0.08,9.99E+13,2.66E+13
30,125.66304,6.4615361,0.08204048,23589.348,241.33821,1.1770953,16,425.09744,-166.46811,161.14464,4.10E+14,1.20E+14,0.3,0.088,9.92E+13,2.91E+13
31,171.72871,17.085283,0.1288819,36166.148,374.90823,1.1557796,20,604.53759,-124.26387,183.82353,4.06E+14,1.28E+14,0.62,0.196,1.95E+14,6.18E+13
32,14.035699,-1.2002074,0.04425922,12975.227,131.35246,1.1869744,119,770.59633,-85.138427,107.31198,4.05E+14,1.19E+14,0.3,0.088,9.75E+13,2.86E+13
33,213.17228,26.428982,0.07127476,20607.95,210.20118,1.1757213,20,480.15465,-70.826088,88.08234,4.04E+14,1.62E+14,0.12,0.048,5.30E+13,2.12E+13
34,165.23643,10.504218,0.03584926,10554.815,106.60004,1.1882553,68,721.14861,-115.34156,154.43205,4.03E+14,1.51E+14,0.15,0.056,5.99E+13,2.24E+13
