#Table1
objid,ra,dec,g,r,redshift,velDisp,velDispErr
1237662236412084303,229.690545822602,6.23225354800248,16.57099,15.70876,0.1020804,296.6836,11.97964
1237662236412084359,229.573742355323,6.252476484568,17.39855,16.4462,0.09655593,139.9028,8.602337
1237662236412084547,229.687600659517,6.27407174415487,16.89205,15.84375,0.1058339,231.3905,6.352734
1237662268611690912,229.703514940757,6.1770551184653,18.31639,17.49998,0.09951828,87.50049,8.146714
1237662268611690918,229.699623156417,6.12769567355915,17.16031,16.12993,0.1031778,264.9799,9.264666
1237662236412084564,229.697583809716,6.28368102585083,18.21986,17.22176,0.1043802,129.8237,8.384782
1237662262712598875,229.595606963085,6.32930756400045,16.86841,15.83865,0.09785615,273.3212,8.86311
1237662236412084399,229.602453305272,6.21391919145794,18.13774,17.19573,0.09874879,138.0478,9.033207
1237662236412215500,229.852972438568,6.22994617377807,17.73638,16.88069,0.09818938,142.5826,7.903572
1237662268611756385,229.747784130719,6.08238186948579,16.84762,15.81224,0.1008658,241.7131,8.745455
1237662236412084413,229.615196252591,6.25783634380027,18.76176,17.7841,0.1062384,121.2144,10.028
1237662262712664377,229.719764513893,6.35040540954735,18.18056,17.1794,0.1071709,128.6108,8.134808
1237662268611756582,229.822918361272,6.02058300233723,18.18126,17.53675,0.1012475,73.11501,21.61866
1237662269148496241,229.611789597375,6.41734065056972,18.23866,17.2374,0.1023509,213.391,11.7067
1237662262712598939,229.634183802855,6.39975631809213,16.96896,15.9231,0.1041653,208.8976,8.707007
1237662236412149973,229.723071196267,6.25981681032314,18.42125,17.421,0.1039529,99.30219,10.63939
1237662262712729841,229.832582404984,6.3040880763522,17.7583,16.96276,0.0982551,140.1299,13.55591
1237662236412150064,229.727267225945,6.28234382771606,18.02382,17.1652,0.1050986,106.9904,8.497725
1237662268611691009,229.727712597494,6.0545602811304,17.54736,16.5414,0.09793226,225.8691,6.699782
1237662268611690978,229.731451799154,6.18169539242398,18.84691,17.90405,0.1040233,138.7669,10.29104
1237662262712598955,229.627526823679,6.33303928124752,16.80755,15.75578,0.1043499,216.6452,8.678112
1237662269148561678,229.632260063082,6.42726719155536,17.81024,16.80252,0.1034391,202.0473,9.114812
1237662236412215670,229.899093247977,6.1853049746252,18.20951,17.63006,0.09985601,67.09142,24.60665
1237662236412084447,229.643626194047,6.29068694054392,17.56164,16.57373,0.1011322,195.4884,8.457887
1237662236412084462,229.645141913834,6.21775207770213,18.42785,17.4678,0.1022013,129.1231,8.327942
1237662268611756616,229.859835306326,6.08309943895595,18.75265,17.75635,0.1007869,108.7761,11.30298
1237662268611690839,229.653892558877,6.07567335007558,18.15439,17.17164,0.1025777,160.4227,6.682594
1237662262712598789,229.552714767351,6.39116416425123,18.01329,17.02278,0.09937162,174.9742,10.57281
1237662236412084354,229.565807945313,6.20555767144539,18.30239,17.70668,0.09806316,77.32823,19.02404
1237662268611756112,229.785544206138,6.143042864637,16.81679,15.81152,0.1027553,228.8955,8.342561
1237662236412150114,229.740307255148,6.19776842045948,17.41668,16.36634,0.1028073,164.7741,7.042464
1237662236412084492,229.669095923432,6.23836393426548,16.88582,15.79881,0.1031633,232.9105,8.942211
1237662236412150103,229.745373234639,6.26424460262762,18.75287,17.77744,0.1046607,97.54508,9.332977
1237662268611690809,229.638364260107,6.14481826208917,17.96794,16.99532,0.09932302,136.5396,9.117883
1237662268611691029,229.744685979139,6.15447995758805,17.76195,16.79225,0.101536,144.602,8.438867
1237662262712664304,229.674222856695,6.34694786198513,18.6506,17.68996,0.1006454,172.8846,13.3773
