#Table1
objid,ra,dec,u,g,r,i,z,redshift
1237650371025436749,195.099221696322,-2.22654528850532,19.22492,18.00258,17.44676,17.09649,16.89163,0.08655296
1237650371025371304,195.05727004841,-2.1776703433518,20.05486,18.30994,17.45292,17.03095,16.65802,0.08582384
1237650371025436702,195.129684856357,-2.18473255134759,19.29864,17.43297,16.42837,15.90606,15.54238,0.0871837
1237650371025436774,195.14274031507,-2.13407499394289,17.99053,15.92977,14.96387,14.51095,14.19325,0.08515789
1237650371025436840,195.191179173434,-2.23671997675077,20.18533,18.31494,17.4279,17.01426,16.72467,0.08543621
1237650371025436773,195.147385074954,-2.15192977288824,19.06453,16.95475,16.0235,15.56538,15.21466,0.08336029
1237650371025371321,195.070326205093,-2.08244808859811,19.48864,17.57702,16.70065,16.27642,15.96027,0.08144954
1237650371025436748,195.095120259958,-2.05420448567017,20.10282,18.21984,17.31047,16.89781,16.57102,0.08479919
1237650761860317301,195.1074612381,-2.25251611384588,20.33279,18.49872,17.62301,17.21627,16.90814,0.08346148
1237650371025436812,195.155501261561,-2.16004654372723,19.77358,17.93441,16.97711,16.51502,16.14535,0.08561452
1237650371025436754,195.106186667528,-2.20049333418558,19.23648,17.32754,16.38783,15.96759,15.64516,0.08806943
1237650371025436825,195.175307916653,-2.11624708928668,19.84057,17.86538,16.93485,16.50401,16.14414,0.08719266
